city_name,country_code,latitude,longitude
shkoder,al,42.06828,19.51258
shijak,al,41.34556,19.56722
sheze,al,41.02417,19.81611
shenkoll,al,41.69083,19.65333
shengjin,al,41.81361,19.59389
shengjergj,al,41.18333,19.53333
shales,al,40.99861,19.94778
nicaj_shale,al,42.29944,19.80500
sevaster,al,40.39639,19.72972
selite,al,41.63528,19.75500
valbone,al,42.45139,19.89167
selenice,al,40.53056,19.63583
ruzhdie,al,40.67083,19.69833
rubik,al,41.77444,19.78611
rrogozhine,al,41.07639,19.66528
rreshen,al,41.76750,19.87556
rrashbull,al,41.32278,19.51028
rrasa_e_siperme,al,40.96778,19.82111
rrape,al,42.04444,19.97056
roskovec,al,40.73750,19.70222
remas,al,40.88639,19.51139
qerret,al,42.05306,19.83722
qelez,al,42.08972,19.89500
puke,al,42.04444,19.89972
progonat,al,40.21333,19.94472
preze,al,41.42722,19.67278
poshnje,al,40.78028,19.84417
portez,al,40.69917,19.57444
peza_e_madhe,al,41.21750,19.69611
petrele,al,41.25306,19.85306
perparim,al,41.05000,19.79917
perondi,al,40.77889,19.92306
peqin,al,41.04611,19.75111
patos_fshat,al,40.64278,19.65083
patos,al,40.68333,19.61944
paskuqan,al,41.35389,19.80667
paper,al,41.05167,19.96083
pajove,al,41.05472,19.83750
otllak,al,40.74389,19.93528
orikum,al,40.32528,19.47139
novosele,al,40.62500,19.46694
nikel,al,41.44417,19.74833
nicaj_shosh,al,42.24444,19.75806
ngracan,al,40.64444,19.79250
ndroq,al,41.26389,19.65583
milot,al,41.68389,19.71556
memaliaj,al,40.35167,19.98028
mbrostar_ure,al,40.75361,19.57944
manze,al,41.42861,19.59306
mamurras,al,41.57750,19.69222
maminas,al,41.37917,19.60750
luzi_i_vogel,al,41.12750,19.57389
lushnje,al,40.94194,19.70500
luftinje,al,40.44278,19.95444
libofshe,al,40.83444,19.55222
lezhe,al,41.78361,19.64361
levan,al,40.67611,19.48972
lekbibaj,al,42.29472,19.93167
lekaj,al,41.11444,19.60972
lac,al,41.63556,19.71306
kute,al,40.47333,19.76639
kutalli,al,40.78389,19.78667
kurjan,al,40.71750,19.74556
kuman,al,40.72667,19.68667
kucove,al,40.80028,19.91667
kuc,al,42.03972,19.52528
kryevidh,al,41.10056,19.52750
krutja_e_poshtme,al,40.87194,19.68083
kruje,al,41.50917,19.79278
krrabe,al,41.21556,19.97139
krahes,al,40.43861,19.84444
kozare,al,40.83083,19.90056
kote,al,40.38944,19.60222
koplik,al,42.21361,19.43639
kombesi,al,41.58167,19.98556
kolonje,al,40.82417,19.60389
kolc,al,41.78667,19.67611
kavaje,al,41.18556,19.55694
katundi_i_ri,al,41.40306,19.51806
kastrat,al,42.35250,19.48917
kashar,al,41.34972,19.71028
karine,al,41.06306,19.71611
karbunara_e_vogel,al,40.92194,19.71778
kamez,al,41.38167,19.76028
kallmeti_i_madh,al,41.84889,19.68694
kallmet,al,41.41806,19.82139
kalenje,al,40.59000,19.77833
kajan,al,40.91417,19.88944
kacinar,al,41.89333,19.89861
ishem,al,41.54528,19.60000
hysgjokaj,al,40.97167,19.78972
hot,al,42.36194,19.44417
himare,al,40.10167,19.74472
helmas,al,41.18028,19.60694
hekal,al,40.56194,19.73583
hasan,al,41.48278,19.69972
hajmel,al,41.95306,19.63778
gurra_e_vogel,al,41.53611,19.99083
guri_i_zi,al,42.04500,19.57472
gruemire,al,42.15917,19.51889
greshice,al,40.55194,19.77833
grekan,al,40.92944,19.94750
gradishte,al,40.88806,19.58583
gracen,al,41.15194,19.96361
grabjan,al,40.95306,19.58083
gose_e_madhe,al,41.09056,19.62472
golem,al,40.96778,19.68528
gjocaj,al,41.02556,19.72389
gjepalaj,al,41.33306,19.57806
fushekuqe,al,41.65028,19.62000
fushe_kruje,al,41.47833,19.71778
fratar,al,40.50000,19.81667
frakulla_e_madhe,al,40.65583,19.50250
fier_shegan,al,40.86722,19.78528
fier_cifci,al,40.71667,19.56667
fier,al,40.72389,19.55611
farka_e_madhe,al,41.30556,19.86694
durres,al,41.32355,19.45469
drenove,al,40.60056,19.70083
divjake,al,40.99667,19.52944
dermenas,al,40.74556,19.49389
vau_i_dejes,al,42.01000,19.62472
dajt,al,41.39361,19.91583
dajc,al,41.99167,19.41056
dajc,al,41.91556,19.60444
cukalat,al,40.73028,19.79056
cudhi_zall,al,41.50944,19.84583
cerrik,al,41.03167,19.97583
cakran,al,40.60333,19.62611
bushat,al,42.11944,19.89972
bubullime,al,40.81806,19.64083
bubq,al,41.47417,19.65167
brataj,al,40.26778,19.66917
berzhite,al,41.24528,19.90111
berxull,al,41.38000,19.68750
berdica_e_madhe,al,42.01528,19.48167
berat,al,40.70583,19.95222
belsh,al,40.97500,19.88194
baz,al,41.63194,19.92917
banaj,al,40.82472,19.83917
ballsh,al,40.59889,19.73472
ballagat,al,40.99528,19.76528
baldushk,al,41.21389,19.79694
armen,al,40.53639,19.59611
aranitas,al,40.59444,19.80667
allkaj,al,40.85750,19.75528
golem,al,41.24583,19.53472
balldreni_i_ri,al,41.81917,19.64028
grude_fushe,al,42.16222,19.49667
fierze,al,40.92056,19.84694
dushk,al,40.72667,19.75722
selite,al,40.54750,19.84806
vllahine,al,40.45694,19.64361
bajram_curri,al,42.35734,20.07679
zarrit_ap,am,39.63892,45.51111
zangakatun,am,39.82233,45.04169
goravan,am,39.90832,44.73328
yeghegnavan,am,39.83893,44.61951
yeghegnadzor,am,39.76389,45.33239
vostan,am,39.96515,44.55937
vosketap,am,39.88114,44.64917
vernashen,am,39.79236,45.36389
verishen,am,39.53543,46.32063
vedi,am,39.91388,44.72510
vayk,am,39.68890,45.46668
tegh,am,39.55826,46.48054
surenavan,am,39.79449,44.77508
sisavan,am,39.90802,44.66721
shinuhayr,am,39.43670,46.31787
lusarrat,am,39.87403,44.58678
shahumyan,am,39.94171,44.57233
shatin,am,39.83612,45.30292
shaghat,am,39.55698,45.90727
rrind,am,39.76111,45.17792
noyakert,am,39.83069,44.66949
mrgavan,am,39.97251,44.53565
meghri,am,38.90292,46.24458
malishka,am,39.74731,45.40570
khndzoresk,am,39.50568,46.43610
kapan,am,39.20755,46.40576
jermuk,am,39.84168,45.66949
goris,am,39.51111,46.34168
gladzor,am,39.78070,45.34729
getap,am,39.76392,45.30829
dzorastan,am,39.27059,46.35720
dalar,am,39.97653,44.52649
burastan,am,39.99157,44.49681
akner,am,39.53491,46.30732
brrnakot,am,39.49742,45.97241
berk_anush,am,39.97790,44.51672
aygezard,am,39.95436,44.60229
aygepat,am,39.95845,44.59981
aygavan,am,39.87327,44.66984
avshar,am,39.85553,44.65832
hats_avan,am,39.46405,45.97047
artashat,am,39.96144,44.54447
yeghegis,am,39.87231,45.35010
armash,am,39.76672,44.81110
areni,am,39.71668,45.18329
ararat,am,39.83069,44.70569
angeghakot,am,39.56952,45.94452
aghavnadzor,am,39.78607,45.22790
agarakadzor,am,39.73608,45.35553
agarak,am,39.20684,46.54460
aralez,am,39.90008,44.65570
horrom,am,40.65973,43.89032
margara,am,40.03332,44.18048
zovuni,am,40.51111,44.43890
zovaber,am,40.56671,44.79028
zorak,am,40.09168,44.39447
zarr,am,40.25848,44.73328
yerevan,am,40.18111,44.51361
yerazgavors,am,40.69505,43.74722
yeraskhahun,am,40.07233,44.21948
yeranos,am,40.20428,45.19209
yeghegnut,am,40.90302,44.63155
